SECTION,ROW,SEAT#,Position X,Position Y,Position Z,X_Axis,Y_Axis,Z_AXIS,Xsquare,Ysquare,Zsquare,Distance,coord,angle,Distance Score,Seat Score,Sales,Price per Seat,Customer 
SEC_126,ROW_D,SEAT_12,"111'-8 11/16""","7'-11 3/4""","4'-9 1/2""",111.7239583,7.979166667,4.791666667,12482.24287,63.66710069,22.96006944,112.110972,"(111.72395829999999, 7.979166667)",0.0454,0.556637876,0.301018938,Open,,
SEC_126,ROW_E,SEAT_12,"114'-6 11/16""","7'-11 3/4""","5'-11 1/2""",114.5572917,7.979166667,5.958333333,13123.37307,63.66710069,35.50173611,114.9893122,"(114.55729170000001, 7.979166667)",0.0442,0.536688842,0.290444421,Open,,
SEC_126,ROW_F,SEAT_12,"117'-4 11/16""","7'-11 3/4""","7'-1 1/2""",117.390625,7.979166667,7.125,13780.55884,63.66710069,50.765625,117.8770188,"(117.390625, 7.979166667)",0.0432,0.516674892,0.279937446,Open,,
SEC_126,ROW_G,SEAT_12,"120'-2 11/16""","7'-11 3/4""","8'-4""",120.2239583,7.979166667,8.333333333,14453.80016,63.66710069,69.44444444,120.7762878,"(120.22395829999999, 7.979166667)",0.0422,0.496580806,0.269390403,Open,,
SEC_126,ROW_H,SEAT_12,"123'-0 11/16""","7'-11 3/4""","9'-7""",123.0572917,7.979166667,9.583333333,15143.09703,63.66710069,91.84027778,123.6875273,"(123.05729170000001, 7.979166667)",0.0412,0.476403756,0.258801878,Open,,
SEC_213,ROW_B,SEAT_03,"-151'-0 7/8""","7'-5 1/4""","25'-9 3/16""",-151.0729167,7.4375,25.765625,22823.02615,55.31640625,663.8674316,153.4347092,"(-151.07291669999998, 7.4375)",0.0313,0.270233707,0.150766854,Open,,
SEC_213,ROW_C,SEAT_03,"-153'-9 7/8""","7'-5 1/4""","27'-4 1/2""",-153.8229167,7.4375,27.375,23661.48969,55.31640625,749.390625,156.4167405,"(-153.82291669999998, 7.4375)",0.0308,0.249566017,0.140183009,Open,,
SEC_213,ROW_A,SEAT_03,"-148'-3 7/8""","7'-2 11/16""","24'-2 5/8""",-148.3229167,7.223958333,24.21875,21999.68761,52.185574,586.5478516,150.460696,"(-148.32291669999998, 7.223958333)",0.031,0.290845825,0.160922913,Open,,
SEC_213,ROW_D,SEAT_09,"-156'-6 7/8""","7'-0 11/16""","28'-11 7/16""",-156.5729167,7.057291667,28.953125,24515.07823,49.80536567,838.2834473,159.3837101,"(-156.57291669999998, 7.057291667)",0.0287,0.229002715,0.128851358,Open,,
SEC_213,ROW_E,SEAT_09,"-159'-3 7/8""","7'-0 11/16""","30'-5 7/16""",-159.3229167,7.057291667,30.453125,25383.79178,49.80536567,927.3928223,162.3606786,"(-159.32291669999998, 7.057291667)",0.0282,0.208370114,0.118285057,Open,,
SEC_213,ROW_F,SEAT_09,"-162'-0 7/8""","7'-0 11/16""","31'-11 7/16""",-162.0729167,7.057291667,31.953125,26267.63032,49.80536567,1021.002197,165.3433938,"(-162.07291669999998, 7.057291667)",0.0277,0.187697684,0.107698842,Open,,
SEC_213,ROW_G,SEAT_09,"-164'-9 7/8""","7'-0 11/16""","33'-5 7/16""",-164.8229167,7.057291667,33.453125,27166.59386,49.80536567,1119.111572,168.3315502,"(-164.82291669999998, 7.057291667)",0.0272,0.166987542,0.097093771,Open,,
